Shipment_ID,Ship_Date,Scheduled_Delivery,Actual_Delivery,Carrier,Origin,Destination,Lane,Distance_Miles,Shipment_Mode,Product_Category,Weight_LBS,Cost_Per_Mile,Total_Freight_Cost,Tender_Accepted,Tender_Sequence,On_Time_Delivery,Damage_Claim,Transit_Days_Scheduled,Transit_Days_Actual
SHP-100000,2025-10-16,2025-10-17,2025-10-17,Maple Leaf Freight,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",368,Reefer,Mixed Produce,30390,3.89,1433.1,1,1,1,0,1,1
SHP-100001,2025-11-23,2025-11-25,2025-11-25,Northern Star Haulage,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",868,TL,Strawberries,43526,3.16,2740.2,1,1,1,0,2,2
SHP-100002,2025-06-01,2025-06-02,2025-06-02,Northern Star Haulage,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",50,LTL,Mixed Produce,13322,2.42,120.91,1,1,1,0,1,1
SHP-100003,2025-08-26,2025-08-29,2025-08-29,TransNorth Logistics,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1050,LTL,Peppers,8385,2.87,3013.82,1,1,1,0,3,3
SHP-100004,2024-12-10,2024-12-12,2024-12-12,Maple Leaf Freight,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",851,TL,Lettuce,41096,3.18,2704.21,1,1,1,0,2,2
SHP-100005,2024-02-14,2024-02-16,2024-02-16,CrossBorder Freight,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",507,Reefer,Tomatoes,25189,3.27,1658.24,0,3,1,0,2,2
SHP-100006,2025-08-14,2025-08-15,2025-08-15,Maple Leaf Freight,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",332,Reefer,Mixed Produce,33838,3.94,1308.85,1,1,1,0,1,1
SHP-100007,2024-08-26,2024-08-28,2024-08-28,Summit Trucking,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",881,LTL,Lettuce,10486,3.12,2747.26,1,1,1,0,2,2
SHP-100008,2024-08-02,2024-08-03,2024-08-03,Maple Leaf Freight,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",386,LTL,Mixed Produce,5775,3.3,1273.94,1,1,1,0,1,1
SHP-100009,2025-01-23,2025-01-26,2025-01-26,Prairie Express,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1081,TL,Mixed Produce,40805,2.03,2191.25,1,1,1,0,3,3
SHP-100010,2024-02-27,2024-02-29,2024-02-29,FreshHaul Inc.,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",733,TL,Tomatoes,42990,3.18,2330.76,1,1,1,0,2,2
SHP-100011,2025-08-03,2025-08-04,2025-08-04,Atlantic Carriers,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",49,Reefer,Mixed Produce,36534,4.44,217.34,1,1,1,0,1,1
SHP-100012,2024-05-26,2024-05-27,2024-05-27,Prairie Express,"Kingsville, ON","Chicago, IL","Kingsville, ON → Chicago, IL",437,LTL,Peppers,14467,2.07,902.54,1,1,1,0,1,1
SHP-100013,2025-03-14,2025-03-15,2025-03-18,GreenRoute Logistics,"Leamington, ON","Toronto, ON","Leamington, ON → Toronto, ON",355,Reefer,Cucumbers,34268,3.71,1316.93,1,1,0,0,1,4
SHP-100014,2024-02-18,2024-02-19,2024-02-19,Maple Leaf Freight,"Kingsville, ON","Chicago, IL","Kingsville, ON → Chicago, IL",453,TL,Mixed Produce,34859,2.51,1139.14,1,1,1,0,1,1
SHP-100015,2025-01-29,2025-01-30,2025-01-31,Summit Trucking,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",408,Reefer,Lettuce,41448,3.53,1440.5,1,1,0,0,1,2
SHP-100016,2024-04-27,2024-04-30,2024-04-30,Northern Star Haulage,"Windsor, ON","Boston, MA","Windsor, ON → Boston, MA",1054,Reefer,Cucumbers,27027,3.49,3679.4,1,1,1,0,3,3
SHP-100017,2024-06-10,2024-06-12,2024-06-12,Prairie Express,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",514,Reefer,Peppers,30892,3.17,1628.01,1,1,1,0,2,2
SHP-100018,2025-10-16,2025-10-17,2025-10-17,Northern Star Haulage,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",418,LTL,Peppers,8099,2.4,1002.94,1,1,1,0,1,1
SHP-100019,2025-06-27,2025-06-29,2025-07-01,GreenRoute Logistics,"Kingsville, ON","Ottawa, ON","Kingsville, ON → Ottawa, ON",763,TL,Lettuce,42790,3.91,2984.69,1,1,0,0,2,4
SHP-100020,2024-09-03,2024-09-05,2024-09-05,Maple Leaf Freight,"Kingsville, ON","Montreal, QC","Kingsville, ON → Montreal, QC",852,LTL,Mixed Produce,13996,2.94,2508.08,1,1,1,0,2,2
SHP-100021,2024-05-08,2024-05-12,2024-05-12,Great Lakes Transport,"Windsor, ON","Winnipeg, MB","Windsor, ON → Winnipeg, MB",1906,LTL,Lettuce,13110,2.61,4968.7,0,3,1,0,4,4
SHP-100022,2024-08-04,2024-08-11,2024-08-11,FreshHaul Inc.,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3393,Reefer,Cucumbers,25502,4.47,15159.8,1,1,1,0,7,7
SHP-100023,2025-06-13,2025-06-14,2025-06-14,FreshHaul Inc.,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",48,Reefer,Tomatoes,40934,5.01,240.27,1,1,1,0,1,1
SHP-100025,2025-12-25,2025-12-26,2025-12-26,TransNorth Logistics,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",71,LTL,Tomatoes,13755,2.79,198.19,0,2,1,0,1,1
SHP-100026,2024-10-12,2024-10-13,2024-10-16,CrossBorder Freight,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",76,TL,Strawberries,36892,3.47,264.04,1,1,0,0,1,4
SHP-100027,2024-09-05,2024-09-06,2024-09-06,Summit Trucking,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",54,Reefer,Tomatoes,26059,3.54,191.2,1,1,1,0,1,1
SHP-100028,2025-04-23,2025-04-27,2025-04-27,TransNorth Logistics,"Windsor, ON","Winnipeg, MB","Windsor, ON → Winnipeg, MB",1901,Reefer,Mixed Produce,35921,3.58,6810.19,0,3,1,0,4,4
SHP-100029,2024-04-21,2024-04-22,2024-04-22,FreshHaul Inc.,"Kingsville, ON","Detroit, MI","Kingsville, ON → Detroit, MI",45,LTL,Peppers,8627,3.29,148,1,1,1,0,1,1
SHP-100030,2025-04-18,2025-04-20,2025-04-20,FreshHaul Inc.,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",757,TL,Tomatoes,40429,3.34,2526.18,1,1,1,0,2,2
SHP-100031,2024-02-21,2024-02-23,2024-02-24,Northern Star Haulage,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",762,TL,Tomatoes,31306,2.93,2231.15,0,3,0,0,2,3
SHP-100032,2025-05-07,2025-05-09,2025-05-09,FreshHaul Inc.,"Windsor, ON","Philadelphia, PA","Windsor, ON → Philadelphia, PA",732,TL,Lettuce,35575,3.31,2424.69,1,1,1,1,2,2
SHP-100033,2025-02-03,2025-02-06,2025-02-06,Prairie Express,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1106,TL,Lettuce,33748,2.06,2281.2,1,1,1,0,3,3
SHP-100034,2025-07-23,2025-07-24,2025-07-27,CrossBorder Freight,"Kingsville, ON","Chicago, IL","Kingsville, ON → Chicago, IL",453,Reefer,Peppers,28304,4.68,2117.96,1,1,0,0,1,4
SHP-100035,2024-03-03,2024-03-04,2024-03-04,Atlantic Carriers,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",341,TL,Tomatoes,41649,2.77,945.42,1,1,1,0,1,1
SHP-100039,2024-03-10,2024-03-11,2024-03-11,FreshHaul Inc.,"Leamington, ON","Toronto, ON","Leamington, ON → Toronto, ON",356,TL,Tomatoes,42289,3.54,1259.25,0,2,1,0,1,1
SHP-100041,2025-11-04,2025-11-05,2025-11-05,GreenRoute Logistics,"Leamington, ON","Columbus, OH","Leamington, ON → Columbus, OH",381,TL,Strawberries,30854,3.34,1273.81,1,1,1,0,1,1
SHP-100042,2024-11-17,2024-11-19,2024-11-19,FreshHaul Inc.,"Kingsville, ON","New York, NY","Kingsville, ON → New York, NY",898,LTL,Lettuce,10172,2.92,2624.22,1,1,1,0,2,2
SHP-100043,2024-03-15,2024-03-16,2024-03-17,TransNorth Logistics,"Leamington, ON","Buffalo, NY","Leamington, ON → Buffalo, NY",305,Reefer,Strawberries,29931,3.34,1017.39,0,3,0,0,1,2
SHP-100044,2024-05-15,2024-05-18,2024-05-18,Atlantic Carriers,"Windsor, ON","Atlanta, GA","Windsor, ON → Atlanta, GA",1096,Reefer,Tomatoes,27327,3.39,3718.99,0,3,1,0,3,3
SHP-100045,2025-09-18,2025-09-19,2025-09-19,Northern Star Haulage,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",334,LTL,Mixed Produce,5197,2.67,890.25,0,2,1,0,1,1
SHP-100047,2024-04-19,2024-04-20,2024-04-20,Northern Star Haulage,"Kingsville, ON","Chicago, IL","Kingsville, ON → Chicago, IL",445,Reefer,Cucumbers,34339,3.18,1416.51,1,1,1,0,1,1
SHP-100048,2025-12-04,2025-12-05,2025-12-06,Prairie Express,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",485,LTL,Lettuce,14986,2.48,1203.47,1,1,0,0,1,2
SHP-100049,2025-03-09,2025-03-10,2025-03-10,Prairie Express,"Kingsville, ON","Toronto, ON","Kingsville, ON → Toronto, ON",348,Reefer,Tomatoes,33338,3.36,1170,1,1,1,0,1,1
SHP-100050,2024-06-14,2024-06-21,2024-06-21,Northern Star Haulage,"Windsor, ON","Calgary, AB","Windsor, ON → Calgary, AB",3399,LTL,Lettuce,6843,2.53,8591.98,1,1,1,0,7,7
SHP-100051,2025-12-08,2025-12-10,2025-12-10,Great Lakes Transport,"Leamington, ON","Pittsburgh, PA","Leamington, ON → Pittsburgh, PA",518,Reefer,Tomatoes,29736,3.22,1665.81,0,2,1,0,2,2
SHP-100052,2024-02-12,2024-02-14,2024-02-14,Prairie Express,"Kingsville, ON","Ottawa, ON","Kingsville, ON → Ottawa, ON",740,TL,Tomatoes,36616,2.43,1800.87,0,2,1,0,2,2
