Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_City,Customer_Type,Product_Name,Quantity_Ordered,Quantity_Shipped,Unit_Price,Order_Value,Fulfillment_Status,Days_to_Fulfill
ORD-100001,2024-01-01,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Strawberries,267,176,3.9,1042.44,Partial,2.0
ORD-100002,2024-01-01,CUST-008,Steel City Distributors,"Pittsburgh, PA",Distributor,Cucumbers,106,106,1.85,196.5,Fulfilled,4.0
ORD-100003,2024-01-01,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Tomatoes,325,325,2.61,846.81,Fulfilled,1.0
ORD-100004,2024-01-01,CUST-010,Atlantic Supermarkets,"Boston, MA",Retail,Tomatoes,46,30,2.48,114.14,Partial,4.0
ORD-100005,2024-01-01,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Strawberries,343,203,3.86,1323.34,Partial,2.0
ORD-100006,2024-01-01,CUST-003,Midwest Foods Co.,"Chicago, IL",Distributor,Mixed Produce,50,50,2.88,144.03,Fulfilled,3.0
ORD-100007,2024-01-01,CUST-001,Metro Grocery Chain,"Toronto, ON",Retail,Tomatoes,44,44,2.47,108.84,Fulfilled,1.0
ORD-100008,2024-01-01,CUST-006,Capital City Foods,"Ottawa, ON",Retail,Peppers,374,374,3.22,1205.72,Fulfilled,3.0
ORD-100009,2024-01-02,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Strawberries,150,150,4.08,612.63,Fulfilled,2.0
ORD-100010,2024-01-02,CUST-006,Capital City Foods,"Ottawa, ON",Retail,Mixed Produce,329,329,2.85,938.71,Fulfilled,4.0
ORD-100011,2024-01-02,CUST-010,Atlantic Supermarkets,"Boston, MA",Retail,Mixed Produce,299,299,2.71,810.53,Fulfilled,1.0
ORD-100012,2024-01-02,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Cucumbers,432,432,1.74,751.81,Fulfilled,4.0
ORD-100013,2024-01-02,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Peppers,403,403,3.05,1230.51,Fulfilled,2.0
ORD-100014,2024-01-02,CUST-005,East Coast Produce,"New York, NY",Wholesale,Peppers,311,132,3.16,982.94,Partial,1.0
ORD-100015,2024-01-02,CUST-009,Heartland Grocers,"Columbus, OH",Retail,Strawberries,180,180,4.05,729.78,Fulfilled,1.0
ORD-100016,2024-01-02,CUST-003,Midwest Foods Co.,"Chicago, IL",Distributor,Cucumbers,174,174,1.76,306.5,Fulfilled,1.0
ORD-100017,2024-01-02,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Peppers,374,374,3.15,1177.59,Fulfilled,2.0
ORD-100018,2024-01-03,CUST-009,Heartland Grocers,"Columbus, OH",Retail,Peppers,491,491,3.03,1488.55,Fulfilled,1.0
ORD-100019,2024-01-03,CUST-003,Midwest Foods Co.,"Chicago, IL",Distributor,Strawberries,99,99,3.97,392.6,Fulfilled,1.0
ORD-100020,2024-01-03,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Strawberries,366,366,4.17,1524.92,Fulfilled,4.0
ORD-100021,2024-01-03,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Peppers,78,78,2.99,232.94,Fulfilled,4.0
ORD-100022,2024-01-03,CUST-009,Heartland Grocers,"Columbus, OH",Retail,Strawberries,371,371,3.84,1424.0,Fulfilled,1.0
ORD-100023,2024-01-03,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Cucumbers,136,136,1.84,250.8,Fulfilled,4.0
ORD-100024,2024-01-03,CUST-010,Atlantic Supermarkets,"Boston, MA",Retail,Strawberries,265,0,4.17,1104.97,Pending,
ORD-100025,2024-01-03,CUST-007,Buffalo Fresh Market,"Buffalo, NY",Retail,Tomatoes,278,137,2.57,715.74,Partial,1.0
ORD-100026,2024-01-03,CUST-002,FreshMart Distribution,"Montreal, QC",Distributor,Mixed Produce,113,113,2.67,301.67,Fulfilled,3.0
ORD-100027,2024-01-03,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Peppers,148,148,3.07,454.58,Fulfilled,1.0
ORD-100028,2024-01-04,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Peppers,239,0,2.97,710.84,Cancelled,
ORD-100029,2024-01-04,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Lettuce,197,197,1.46,287.93,Fulfilled,4.0
ORD-100030,2024-01-04,CUST-004,Great Lakes Grocers,"Detroit, MI",Retail,Mixed Produce,97,44,2.91,282.72,Partial,1.0
ORD-100031,2024-01-04,CUST-012,Philly Fresh Foods,"Philadelphia, PA",Distributor,Cucumbers,270,270,1.83,494.48,Fulfilled,3.0
